eco,name,moves
A04,Zukertort Opening: Shabalov Gambit,g1f3 e7e6 c2c4 a7a6 b1c3 c7c5 g2g3 b7b5
A04,Zukertort Opening: Sicilian Invitation,g1f3 c7c5
A04,Zukertort Opening: Slav Invitation,g1f3 c7c6
A04,Zukertort Opening: Speelsmet Gambit,g1f3 c7c5 d2d4 c5d4 e2e3
A04,Zukertort Opening: St. George Defense,g1f3 a7a6
A04,Zukertort Opening: The Walrus,g1f3 e7e5 f3e5 b8c6 e5c6 d7c6
A04,Zukertort Opening: Vos Gambit,g1f3 d7d6 d2d4 e7e5
A04,Zukertort Opening: Wade Defense,g1f3 d7d6 e2e4 c8g4
A04,Zukertort Opening: Ware Defense,g1f3 a7a5
A05,King's Indian Attack,g1f3 g8f6 g2g3 d7d5
A05,King's Indian Attack: Smyslov Variation,g1f3 g8f6 g2g3 g7g6 b2b4
A05,King's Indian Attack: Spassky Variation,g1f3 g8f6 g2g3 b7b5
A05,King's Indian Attack: Symmetrical Defense,g1f3 g8f6 g2g3 g7g6
A05,King's Indian Attack: Wahls Defense,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d5
A05,Polish Opening: Zukertort System,g1f3 g8f6 b2b4
A05,Zukertort Opening,g1f3 g8f6
A05,Zukertort Opening,g1f3 g8f6 b1c3 b8c6
A05,Zukertort Opening: Double Fianchetto Attack,g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 e8g8 f1g2 d7d6 e1g1
A05,Zukertort Opening: Lemberger Gambit,g1f3 g8f6 e2e4
A05,Zukertort Opening: Myers Polish Attack,g1f3 g8f6 a2a4 g7g6 b2b4
A05,Zukertort Opening: Nimzo-Larsen Variation,g1f3 g8f6 b2b3
A05,Zukertort Opening: Quiet System,g1f3 g8f6 e2e3
A06,Nimzo-Larsen Attack: Classical Variation,g1f3 d7d5 b2b3
A06,Nimzo-Larsen Attack: Norfolk Gambit,g1f3 d7d5 b2b3 c7c5 e2e4
A06,Nimzo-Larsen Attack: Norfolk Gambit,g1f3 d7d5 b2b3 g8f6 c1b2 c7c5 e2e4
A06,Zukertort Opening,g1f3 d7d5
A06,Zukertort Opening: Ampel Variation,g1f3 d7d5 h1g1
A06,Zukertort Opening: Old Indian Attack,g1f3 d7d5 d2d3
A06,Zukertort Opening: Pachman Gambit,g1f3 d7d5 e2e3 c7c5 c2c4 d5c4 b2b3
A06,Zukertort Opening: Regina-Nu Gambit,g1f3 d7d5 b2b3 c7c5 c2c4 d5c4 b1c3
