eco,name,moves
E26,Nimzo-Indian Defense: Sämisch Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 e2e3
E26,"Nimzo-Indian Defense: Sämisch Variation, O'Kelly Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 e2e3 b7b6
E27,Nimzo-Indian Defense: Sämisch Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 e8g8
E28,Nimzo-Indian Defense: Sämisch Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 a2a3 b4c3 b2c3
E29,Nimzo-Indian Defense: Sämisch Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 a2a3 b4c3 b2c3 e8g8
E29,"Nimzo-Indian Defense: Sämisch Variation, Capablanca Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 a2a3 b4c3 b2c3 e8g8 g1e2 b7b6 e3e4 f6e8
E30,Nimzo-Indian Defense: Leningrad Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5
E30,"Nimzo-Indian Defense: Leningrad Variation, Averbakh Gambit",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 b7b5
E31,"Nimzo-Indian Defense: Leningrad Variation, Benoni Defense",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 d7d6
E32,Nimzo-Indian Defense: Classical Variation,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2
E32,"Nimzo-Indian Defense: Classical Variation, Keres Defense",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6
E32,"Nimzo-Indian Defense: Classical Variation, Vitolins-Adorjan Gambit",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b5
E33,"Nimzo-Indian Defense: Classical Variation, Milner-Barry Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6
E33,"Nimzo-Indian Defense: Classical Variation, Zurich Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6
E34,"Nimzo-Indian Defense: Classical Variation, Belyavsky Gambit",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 g1f3 d5f5 c2d1 e6e5
E34,"Nimzo-Indian Defense: Classical Variation, Noa Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5
E35,"Nimzo-Indian Defense: Classical Variation, Noa Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 e6d5
E36,"Nimzo-Indian Defense: Classical Variation, Noa Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3
E36,"Nimzo-Indian Defense: Classical Variation, Noa Variation, Botvinnik Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 b8c6
E36,"Nimzo-Indian Defense: Classical Variation, Noa Variation, Main Line",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4
E37,"Nimzo-Indian Defense: Classical Variation, Noa Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2
E37,"Nimzo-Indian Defense: Classical Variation, Noa Variation, San Remo Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2 b8c6 e2e3 e6e5
E38,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5
E38,"Nimzo-Indian Defense: Classical Variation, Berlin Variation, Steiner Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 b4c3
E39,"Nimzo-Indian Defense: Classical Variation, Berlin Variation, Macieja System",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8 a2a3 b4c5 g1f3 b7b6 c1f4
E39,"Nimzo-Indian Defense: Classical Variation, Berlin Variation, Pirc Variation",d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8
E40,Nimzo-Indian Defense: Normal Line,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3
