eco,name,moves
B06,"Pterodactyl Defense: Eastern, Benoni",d2d4 g7g6 e2e4 f8g7 b1c3 c7c5 d4d5
B06,"Pterodactyl Defense: Eastern, Benoni Pteranodon",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4d5 g7c3 b2c3 d8a5
B06,"Pterodactyl Defense: Eastern, Benoni Pterodactyl",d2d4 g7g6 b1c3 f8g7 e2e4 c7c5 d4d5 d8a5
B06,"Pterodactyl Defense: Eastern, Pteranodon",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4c5 g7c3 b2c3 d8a5
B06,"Pterodactyl Defense: Eastern, Pterodactyl",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4c5 d8a5
B06,"Pterodactyl Defense: Eastern, Rhamphorhynchus",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 d4c5
B06,"Pterodactyl Defense: Fianchetto, King Pterodactyl",e2e4 g7g6 d2d4 f8g7 g2g3 c7c5 g1f3 d8a5
B06,"Pterodactyl Defense: Fianchetto, Rhamphorhynchus",e2e4 g7g6 d2d4 f8g7 g2g3 c7c5 d4c5 d8a5
B06,"Pterodactyl Defense: Sicilian, Quetzalcoatlus",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 g1f3 d8a5 f1e2 d7d6
B06,"Pterodactyl Defense: Sicilian, Siroccopteryx",e2e4 g7g6 d2d4 f8g7 b1c3 c7c5 g1f3 d8a5 f1c4
B06,"Pterodactyl Defense: Western, Anhanguera",e2e4 g7g6 d2d4 f8g7 g1f3 c7c5 c1e3 d8a5
B06,"Pterodactyl Defense: Western, Siroccopteryx",e2e4 g7g6 g1f3 f8g7 d2d4 c7c5 f1c4 c5d4 f3d4 d8a5
B06,Rat Defense: Accelerated Gurgenidze,e2e4 g7g6 d2d4 d7d6 b1c3 c7c6
B07,Czech Defense,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6
B07,Lion Defense: Anti-Philidor,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4
B07,"Lion Defense: Anti-Philidor, Lion's Cave",e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4 e7e5
B07,"Lion Defense: Anti-Philidor, Lion's Cave, Lion Claw Gambit",e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4 e7e5 g1f3 e5d4 d1d4 c7c6 f1c4 d6d5
B07,Lion Defense: Bayonet Attack,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 g2g4
B07,Modern Defense: Geller's System,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c3
B07,"Philidor Defense: Lion Variation, Lion's Claw",e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 f1e2 b8d7 g1f3 e7e5 e1g1 f8e7
B07,Pirc Defense,e2e4 d7d6 d2d4 g8f6 b1c3
B07,Pirc Defense,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6
B07,Pirc Defense: 150 Attack,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 d1d2
B07,"Pirc Defense: 150 Attack, Inner Doll Defense",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 d1d2 c8g4
B07,"Pirc Defense: 150 Attack, Sveshnikov-Jansa Attack",e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1e3 c7c6 h2h3
B07,Pirc Defense: Bayonet Attack,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1e2 f8g7 h2h4
