eco,name,moves
D03,"Queen's Pawn Game: Torre Attack, Grünfeld Variation",d2d4 d7d5 g1f3 g8f6 c1g5 g7g6
D04,Queen's Pawn Game: Colle System,d2d4 d7d5 g1f3 g8f6 e2e3
D04,"Queen's Pawn Game: Colle System, Anti-Colle",d2d4 d7d5 g1f3 g8f6 e2e3 c8f5
D04,"Queen's Pawn Game: Colle System, Grünfeld Formation",d2d4 d7d5 g1f3 g8f6 e2e3 g7g6 f1d3 f8g7
D05,"Queen's Pawn Game, Zukertort Variation",d2d4 d7d5 g1f3 c7c5 e2e3 g8f6 b1d2 e7e6 b2b3
D05,Queen's Pawn Game: Colle System,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6
D05,Queen's Pawn Game: Colle System,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3
D05,"Queen's Pawn Game: Colle System, Traditional Colle",d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 c2c3
D05,Rubinstein Opening,d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3
D05,Rubinstein Opening: Bogoljubov Defense,d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8d6 c1b2 e8g8
D05,Rubinstein Opening: Classical Defense,d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8e7 c1b2 e8g8
D05,Rubinstein Opening: Semi-Slav Defense,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 f8d6 e1g1 e8g8 b2b3 b8d7 c1b2
D06,Queen's Gambit,d2d4 d7d5 c2c4
D06,"Queen's Gambit Declined: Austrian Attack, Salvio Countergambit",d2d4 d7d5 c2c4 c7c5 d4c5 d5d4
D06,Queen's Gambit Declined: Austrian Defense,d2d4 d7d5 c2c4 c7c5
D06,"Queen's Gambit Declined: Austrian Defense, Gusev Countergambit",d2d4 d7d5 c2c4 c7c5 c4d5 g8f6
D06,"Queen's Gambit Declined: Austrian Defense, Haberditz Variation",d2d4 d7d5 c2c4 c7c5 c4d5 g8f6 e2e4 f6e4 d4c5 d8a5
D06,Queen's Gambit Declined: Baltic Defense,d2d4 d7d5 c2c4 c8f5
D06,"Queen's Gambit Declined: Baltic Defense, Argentinian Gambit",d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 d5c6 b8c6
D06,"Queen's Gambit Declined: Baltic Defense, Pseudo-Chigorin",d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 b8c6
D06,"Queen's Gambit Declined: Baltic Defense, Queen Attack",d2d4 d7d5 c2c4 c8f5 d1b3
D06,"Queen's Gambit Declined: Baltic Defense, Queen Attack Deferred",d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 d1b3
D06,Queen's Gambit Declined: Marshall Defense,d2d4 d7d5 c2c4 g8f6
D06,"Queen's Gambit Declined: Marshall Defense, Tan Gambit",d2d4 d7d5 c2c4 g8f6 c4d5 c7c6
D06,Queen's Gambit Declined: Zilbermints Gambit,d2d4 d7d5 c2c4 b7b5
D07,Queen's Gambit Declined: Chigorin Defense,d2d4 d7d5 c2c4 b8c6
D07,Queen's Gambit Declined: Chigorin Defense,d2d4 d7d5 c2c4 b8c6 b1c3
D07,Queen's Gambit Declined: Chigorin Defense,d2d4 d7d5 c2c4 b8c6 b1c3 d5c4
D07,"Queen's Gambit Declined: Chigorin Defense, Exchange Variation",d2d4 d7d5 c2c4 b8c6 c4d5 d8d5
D07,"Queen's Gambit Declined: Chigorin Defense, Exchange Variation, Costa's Line",d2d4 d7d5 c2c4 b8c6 c4d5 d8d5 e2e3 e7e5 b1c3 f8b4 c1d2 b4c3 d2c3 e5d4 g1e2
D07,"Queen's Gambit Declined: Chigorin Defense, Janowski Variation",d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3
D07,"Queen's Gambit Declined: Chigorin Defense, Lazard Gambit",d2d4 d7d5 c2c4 b8c6 g1f3 e7e5
